book_title,book_author,user_rating,review_text,date_read,book_url,book_id,shelves
Lost and Wanted,"Freudenberger, Nell",4,Good characters; weak plot.,"Mar 12, 2020",https://www.goodreads.com/book/show/40177418-lost-and-wanted,40177418,1 of 5 stars|2 of 5 stars|3 of 5 stars|4 of 5 stars|5 of 5 stars|add to shelves
The Catcher in the Rye,"Salinger, J.D.",3,None,Feb 2020,https://www.goodreads.com/book/show/5107.The_Catcher_in_the_Rye,5107,1 of 5 stars|2 of 5 stars|3 of 5 stars|4 of 5 stars|5 of 5 stars|add to shelves
Modoc: The True Story of the Greatest Elephant That Ever Lived,"Helfer, Ralph",,None,"Jan 07, 2020




not set",https://www.goodreads.com/book/show/23982.Modoc,23982,1 of 5 stars|2 of 5 stars|3 of 5 stars|4 of 5 stars|5 of 5 stars|add to shelves
"Murder on the Orient Express (Hercule Poirot, #10)","Christie, Agatha",,Read the entire book on one flight. Classic mystery. Interesting characters and plot. Iconic ending. Not much to dislike about this book.,"Dec 29, 2019",https://www.goodreads.com/book/show/853510.Murder_on_the_Orient_Express,853510,1 of 5 stars|2 of 5 stars|3 of 5 stars|4 of 5 stars|5 of 5 stars|add to shelves
Americanah,"Adichie, Chimamanda Ngozi",4,"Book is written in a very compelling way. However, not a clear storyline which in my opinion was okay. Really a collection of stories about two differ Book is written in a very compelling way. However, not a clear storyline which in my opinion was okay. Really a collection of stories about two different people who love each-other but don't end up together until the last 50 or so pages. Some of the stories were interesting to me, but at times there were parts I really didn't care for. A means for Adichie to make commentary about race in America. ...more","Dec 29, 2019




not set",https://www.goodreads.com/book/show/15796700-americanah,15796700,1 of 5 stars|2 of 5 stars|3 of 5 stars|4 of 5 stars|5 of 5 stars|add to shelves
Becoming,"Obama, Michelle",5,This review is about 2 months after reading. Insightful book into the life of a very influential woman. Found her perspective on the inner-workings of This review is about 2 months after reading. Insightful book into the life of a very influential woman. Found her perspective on the inner-workings of the White House quite fascinating. Writing style made me want to keep reading. ...more,"Dec 29, 2019",https://www.goodreads.com/book/show/38746485-becoming,38746485,1 of 5 stars|2 of 5 stars|3 of 5 stars|4 of 5 stars|5 of 5 stars|add to shelves
1984,"Orwell, George",4,None,not set,https://www.goodreads.com/book/show/40961427-1984,40961427,1 of 5 stars|2 of 5 stars|3 of 5 stars|4 of 5 stars|5 of 5 stars|add to shelves
Slaughterhouse-Five,"Vonnegut, Kurt Jr.",3,None,not set,https://www.goodreads.com/book/show/4981.Slaughterhouse_Five,4981,1 of 5 stars|2 of 5 stars|3 of 5 stars|4 of 5 stars|5 of 5 stars|add to shelves
A Single Man,"Isherwood, Christopher",5,None,not set,https://www.goodreads.com/book/show/16842.A_Single_Man,16842,1 of 5 stars|2 of 5 stars|3 of 5 stars|4 of 5 stars|5 of 5 stars|add to shelves
To Kill a Mockingbird,"Lee, Harper",3,None,not set,https://www.goodreads.com/book/show/2657.To_Kill_a_Mockingbird,2657,1 of 5 stars|2 of 5 stars|3 of 5 stars|4 of 5 stars|5 of 5 stars|add to shelves
All the Light We Cannot See,"Doerr, Anthony",5,None,not set,https://www.goodreads.com/book/show/18143977-all-the-light-we-cannot-see,18143977,1 of 5 stars|2 of 5 stars|3 of 5 stars|4 of 5 stars|5 of 5 stars|add to shelves
"Beautiful World, Where Are You","Rooney, Sally",3,A lot of the actions these hoes take make absolutely no sense. Like what are their motivations. Other than that the story was engaging.,not set,https://www.goodreads.com/book/show/56597885-beautiful-world-where-are-you,56597885,1 of 5 stars|2 of 5 stars|3 of 5 stars|4 of 5 stars|5 of 5 stars|add to shelves
